ID;null
137559;v800073042carg-01;10288.25
137556;v800073040carg-01;10600.28
137555;v800073034carg-01;10600.28
137553;v800073030carg-01;22588.25
137552;v800073028carg-01;11488.05
137551;v800073022carg-01;9064.47
137549;v800073014carg-01;15568.28
137547;v800073000carg-01;8488.20
137546;v800072998carg-01;12334.22
137544;v800072980carg-01;13037.52
137543;v800072978carg-01;13491.66
137541;v800072974carg-01;18088.25
137538;v800072968carg-01;38633.15
137539;v800072966carg-01;8488.20
137537;v800072964carg-01;9806.55
137534;v800072956carg-01;11053.15
137532;v800072936carg-01;3688.10
137530;v800072934carg-01;12008.20
137529;v800072932carg-01;10088.20
137528;v800072922carg-01;15568.28
137527;v800072902carg-01;19456.28
137523;v800072892carg-01;15568.28
137521;v800072886carg-01;13368.20
137519;v800072882carg-01;18338.27
137510;v800072866carg-01;31848.20
137508;v800072862carg-01;17688.20
137504;v800072858carg-01;10600.28
137502;v800072856carg-01;10600.28
137500;v800072854carg-01;12888.20
137499;v800072852carg-01;15608.28
137498;v800072848carg-01;10328.25
137497;v800072844carg-01;13688.20
137495;v800072836carg-01;9416.20
137496;v800072834carg-01;8488.20
137494;v800072832carg-01;11978.25
137493;v800072822carg-01;27077.50
137483;v800072814carg-01;1193.15
137481;v800072808carg-01;5640.75
137480;v800072804carg-01;10600.28
137475;v800072800carg-01;3854.30
137474;v800072796carg-01;10640.28
137473;v800072792carg-01;10600.28
137471;v800072790carg-01;13688.20
137467;v800072782carg-01;11263.25
137465;v800072778carg-01;11053.15
137461;v800072774carg-01;12027.93
137446;v800072762carg-01;8549.25
137448;v800072760carg-01;9183.90
137449;v800072758carg-01;10319.20
137445;v800072754carg-01;11532.42
137443;v800072750carg-01;11878.20
137440;v800072748carg-01;8399.20
137432;v800072744carg-01;10073.31
137429;v800072742carg-01;7919.10
137426;v800072736carg-01;9183.90
137427;v800072734carg-01;11899.30
137428;v800072729carg-01;4829.30
137425;v800072727carg-01;3374.25
137422;v800072725carg-01;29053.70
137423;v800072723carg-01;8399.20
137419;v800072717carg-01;1799.40
137418;v800072715carg-01;8549.25
137407;v800072701carg-01;11621.22
137404;v800072695carg-01;10073.31
137399;v800072693carg-01;11621.22
137401;v800072691carg-01;8744.25
137395;v800072687carg-01;2999.40
137396;v800072685carg-01;11899.30
137397;v800072683carg-01;8999.00
137393;v800072681carg-01;11621.22
137394;v800072675carg-01;36239.20
137391;v800072661carg-01;8299.00
137384;v800072657carg-01;11460.27
137380;v800072655carg-01;28599.35
137381;v800072653carg-01;8549.25
137375;v800072649carg-01;11621.22
137377;v800072645carg-01;2999.40
137378;v800072643carg-01;8299.00
137379;v800072641carg-01;14399.20
137373;v800072633carg-01;5391.12
137372;v800072631carg-01;8219.40
137370;v800072625carg-01;8219.40
137366;v800072619carg-01;6229.30
137363;v800072617carg-01;8299.00
137365;v800072611carg-01;2999.40
137361;v800072603carg-01;7919.10
137356;v800072581carg-01;14397.72
137347;v800072579carg-01;8219.40
137348;v800072577carg-01;19499.35
137349;v800072575carg-01;8299.00
137350;v800072573carg-01;15399.30
137344;v800072569carg-01;659.40
137341;v800072563carg-01;3249.00
137342;v800072561carg-01;11619.30
137343;v800072559carg-01;8219.40
137336;v800072554carg-02;16768.65
137338;v800072554carg-01;16768.65
137339;v800072552carg-01;11619.30
137334;v800072546carg-01;8219.40
137335;v800072544carg-01;8219.40
137330;v800072542carg-01;14189.34
137332;v800072540carg-01;8099.88
137326;v800072534carg-01;659.40
137328;v800072532carg-01;8219.40
137329;v800072530carg-01;8219.40
137323;v800072522carg-01;8999.00
137325;v800072520carg-01;8299.00
137317;v800072516carg-01;3249.00
137319;v800072514carg-01;14189.34
137313;v800072512carg-01;8219.40
137315;v800072510carg-01;7062.30
137309;v800072506carg-01;8777.43
134955;v800072504carg-01;3369.90
134953;v800072502carg-01;659.40
134954;v800072500carg-01;3249.00
134951;v800072498carg-01;16598.00
134952;v800072494carg-01;17754.33
134949;v800072492carg-01;7209.30
134946;v800072490carg-01;8219.40
134947;v800072488carg-01;8219.40
134944;v800072482carg-01;10269.35
134945;v800072480carg-01;10269.35
134938;v800072478carg-01;17754.33
134940;v800072476carg-01;8299.00
134942;v800072474carg-01;11619.30
134935;v800072470carg-01;19499.35
134937;v800072468carg-01;10073.31
134930;v800072464carg-01;8219.40
134929;v800072458carg-01;8219.40
134918;v800072456carg-01;10602.48
134914;v800072452carg-01;8999.00
134916;v800072450carg-01;2999.40
134911;v800072448carg-01;3249.00
134912;v800072446carg-01;6229.30
134906;v800072440carg-01;8399.20
134902;v800072436carg-01;4829.30
134897;v800072434carg-01;14189.34
134898;v800072430carg-01;8219.40
134899;v800072428carg-01;14189.34
134891;v800072420carg-01;11218.80
134882;v800072418carg-01;8399.20
134885;v800072416carg-01;9599.20
134887;v800072414carg-01;9374.25
134876;v800072408carg-01;7534.45
134878;v800072406carg-01;8219.40
134880;v800072402carg-01;3799.05
134881;v800072398carg-01;3374.25
134870;v800072388carg-01;14124.60
134863;v800072382carg-01;17499.30
134858;v800072378carg-01;3203.01
134838;v800072376carg-01;19630.33
134840;v800072372carg-01;19630.33
134842;v800072369carg-02;11218.40
134844;v800072369carg-01;11218.40
134846;v800072365carg-01;2999.40
134848;v800072367carg-01;14999.00
134850;v800072363carg-01;7979.30
134853;v800072361carg-01;8219.40
134854;v800072359carg-01;9234.78
134816;v800072353carg-01;29999.00
134819;v800072351carg-01;7062.30
134821;v800072349carg-01;23089.56
134822;v800072347carg-01;29999.00
134824;v800072341carg-01;11999.25
134805;v800072337carg-01;8219.40
134807;v800072335carg-01;15399.30
134809;v800072333carg-01;2999.00
134788;v800072331carg-01;15399.30
134812;v800072327carg-01;10799.25
134814;v800072321carg-01;8219.40
134776;v800072317carg-01;6229.30
134767;v800072315carg-01;61881.44
134900;v800072307carg-01;8744.25
134755;v800072305carg-01;8219.40
134757;v800072303carg-01;15740.38
134758;v800072301carg-01;11399.25
134760;v800072297carg-01;11279.20
134746;v800072289carg-01;7084.35
134733;v800072287carg-01;2999.40
134735;v800072285carg-01;1799.40
134709;v800072279carg-01;14189.34
134711;v800072277carg-01;8159.20
134713;v800072275carg-01;17754.33
134715;v800072267carg-01;11619.30
134688;v800072265carg-01;8219.40
134691;v800072263carg-01;8965.02
134668;v800072259carg-01;3374.25
134670;v800072253carg-01;11460.27
134672;v800072251carg-01;23429.45
134655;v800072249carg-01;11619.30
134657;v800072247carg-01;26153.53
134677;v800072245carg-01;29999.00
134659;v800072237carg-01;7979.30
132291;v800072235carg-01;7979.30
132293;v800072233carg-01;23429.45
132295;v800072229carg-01;10799.25
132296;v800072225carg-01;6229.30
132298;v800072221carg-01;7979.30
132280;v800072219carg-01;10319.20
132264;v800072215carg-01;3791.10
132266;v800072212carg-02;14547.40
132268;v800072212carg-01;14547.40
132270;v800072207carg-01;8777.43
132272;v800072205carg-01;24587.54
132257;v800072203carg-01;1799.40
132259;v800072199carg-01;8299.00
132261;v800072201carg-01;13034.45
132262;v800072193carg-01;6859.30
132247;v800072187carg-01;23429.45
132249;v800072185carg-01;7084.35
132251;v800072183carg-01;15942.24
132253;v800072171carg-01;8219.40
132238;v800072169carg-01;9167.16
132240;v800072167carg-01;8219.40
132242;v800072161carg-01;23429.45
132244;v800072159carg-01;8219.40
132223;v800072157carg-01;11152.62
132216;v800072147carg-01;8219.40
132218;v800072145carg-01;16026.38
132221;v800072143carg-01;8299.00
132222;v800072141carg-01;18291.32
132200;v800072129carg-01;19499.35
132202;v800072127carg-01;9183.90
132204;v800072123carg-01;39999.20
132188;v800072119carg-01;16978.30
132190;v800072115carg-01;8219.40
132192;v800072113carg-01;3249.00
132194;v800072111carg-01;8299.00
132171;v800072107carg-01;2458.80
132174;v800072105carg-01;19499.35
132176;v800072103carg-01;8399.20
132160;v800072101carg-01;6859.30
132162;v800072099carg-01;8219.40
132165;v800072097carg-01;11599.38
132153;v800072091carg-01;9234.78
132145;v800072085carg-01;4829.30
132138;v800072079carg-01;1919.20
132130;v800072077carg-01;19630.33
132125;v800072073carg-01;10073.31
132127;v800072069carg-01;16026.38
132116;v800072065carg-01;15399.30
132104;v800072060carg-02;11298.40
132107;v800072060carg-01;11298.40
132108;v800072058carg-01;16026.38
132110;v800072054carg-01;17499.30
132112;v800072052carg-01;8159.20
132086;v800072048carg-01;8219.40
132088;v800072046carg-01;8219.40
132090;v800072044carg-01;8299.00
132092;v800072042carg-01;9599.20
132094;v800072040carg-01;8999.00
132096;v800072038carg-01;11399.25
132098;v800072036carg-01;8219.40
132100;v800072034carg-01;7084.35
132075;v800072032carg-01;15399.30
132077;v800072030carg-01;14189.34
132079;v800072028carg-01;8219.40
132081;v800072020carg-01;23429.45
132058;v800072018carg-01;24587.54
132060;v800072016carg-01;18843.55
132062;v800072014carg-01;16847.22
132064;v800072004carg-01;6859.30
132214;v800071998carg-01;18843.55
132045;v800071996carg-01;6859.30
132035;v800071994carg-01;19630.33
132037;v800071990carg-01;32132.46
132026;v800071988carg-01;15599.35
132028;v800071986carg-01;2999.40
132015;v800071984carg-01;7062.30
132017;v800071982carg-01;6859.30
132002;v800071978carg-01;8399.20
132004;v800071976carg-01;32013.00
131985;v800071972carg-01;659.40
131988;v800071970carg-01;16026.38
131981;v800071968carg-01;11218.80
131982;v800071962carg-01;10799.25
131968;v800071960carg-01;10073.31
131970;v800071956carg-01;18291.32
131972;v800071954carg-01;8299.00
131974;v800071950carg-01;8299.00
131957;v800071946carg-01;8399.20
131959;v800071944carg-01;11619.30
131950;v800071938carg-01;7979.30
131951;v800071935carg-02;29022.60
131953;v800071935carg-01;29022.60
131934;v800071933carg-01;6859.30
131937;v800071931carg-01;7979.30
131939;v800071929carg-01;8045.97
131941;v800071927carg-01;11999.25
131943;v800071917carg-01;3374.25
131921;v800071913carg-01;7139.30
131923;v800071909carg-01;3203.01
131925;v800071907carg-01;11619.30
131926;v800071905carg-01;16847.22
131928;v800071903carg-01;2999.40
131911;v800071901carg-01;29053.70
131932;v800071899carg-01;2999.40
131913;v800071897carg-01;9183.90
131893;v800071895carg-01;8045.97
131895;v800071893carg-01;9183.90
131897;v800071887carg-01;7534.45
131899;v800071885carg-01;3249.00
131901;v800071881carg-01;19499.35
131902;v800071878carg-02;11298.00
131903;v800071878carg-01;11298.00
131885;v800071870carg-01;3249.00
131887;v800071868carg-01;30978.84
